ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,experiment,trade_type
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459,V36cv2_inverse,main
HOG,2004-10-19,2004-10-27,36.15903788034516,36.716766357421875,82.96680929197785,0.8297,45.44328410140928,1.5424317398109686,8,time_stop,2,5,100130.510723466,V36cv2_inverse,main
LPX,2004-10-19,2004-10-27,19.536423748150106,19.063575744628906,153.55932276418136,1.5356,-74.14581241875256,-2.4203406397036913,8,time_stop,3,4,100056.36491104725,V36cv2_inverse,main
TTC,2004-10-19,2004-10-27,6.161874083870105,6.4342756271362305,486.8648659752849,4.8686,127.75409219397024,4.420758028457436,8,time_stop,2,5,100184.11900324121,V36cv2_inverse,main
MKC,2004-10-28,2004-11-01,11.019432877757007,11.431259155273438,272.74757271437795,2.7275,109.59714184546053,3.737272889494269,4,profit_target,2,5,100293.71614508667,V36cv2_inverse,main
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.24806800185212,0.7,142.9925545956675,4.780949183872768,2,profit_target,3,4,100436.70869968233,V36cv2_inverse,main
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,284.1181821890549,2.8412,578.1805224312237,11.586402948966374,2,profit_target,3,4,101014.88922211356,V36cv2_inverse,main
OII,2004-11-02,2004-11-04,7.70169597152832,8.14368724822998,651.1144851462142,6.5111,281.27577771725737,5.738882427138344,2,profit_target,3,4,101296.16499983081,V36cv2_inverse,main
MUR,2004-10-28,2004-11-05,18.683238040378075,18.803184509277344,160.8673808898501,1.6087,17.686800489912667,0.6420004318311472,8,time_stop,3,4,101313.85180032073,V36cv2_inverse,main
XRAY,2004-11-02,2004-11-05,21.184847103564756,21.615787506103516,236.71097472355686,2.3671,99.64121298547612,2.034191705194065,3,profit_target,3,4,101413.4930133062,V36cv2_inverse,main
SPGI,2004-11-03,2004-11-05,29.533216639295915,30.340553283691406,169.79815874786763,1.698,135.38629412055764,2.7336563241854113,2,profit_target,3,4,101548.87930742676,V36cv2_inverse,main
IRM,2004-11-03,2004-11-08,7.939567415864208,8.116809844970703,631.6069307799302,6.3161,105.63147734413332,2.2323940313466357,5,profit_target,3,4,101654.51078477089,V36cv2_inverse,main
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,266.88055151239445,2.6688,186.81614172223368,3.7786005847713398,6,profit_target,3,4,101841.32692649312,V36cv2_inverse,main
HBAN,2004-11-04,2004-11-11,11.015935243402312,11.24785041809082,455.8700940069347,4.5587,101.16449154681547,2.1052699527024465,7,profit_target,3,4,101942.49141803994,V36cv2_inverse,main
TGT,2004-11-12,2004-11-15,30.655907957411245,31.58979034423828,166.2689155376896,1.6627,153.61292254210366,3.0463373915541303,3,profit_target,3,4,102096.10434058204,V36cv2_inverse,main
NTAP,2004-11-11,2004-11-17,18.462542726861138,21.70725440979004,275.8052572529034,2.7581,892.1504878491777,17.574565599830265,6,profit_target,3,4,102988.25482843122,V36cv2_inverse,main
VFC,2004-11-11,2004-11-19,7.149835067440575,7.069629669189453,712.1935398920275,7.1219,-64.2437018978368,-1.1217796983369195,8,time_stop,3,4,102924.01112653338,V36cv2_inverse,main
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,487.17245885475853,4.8717,136.40826989517794,2.7436137202069246,4,profit_target,3,4,103060.41939642857,V36cv2_inverse,main
HL,2004-11-16,2004-11-24,6.350228100669246,6.229710578918457,803.8774570146717,8.0388,-104.92009348088119,-1.897845555155531,8,time_stop,3,4,102955.49930294769,V36cv2_inverse,main
JBHT,2004-11-16,2004-11-24,16.090419943175647,16.038747787475586,317.2574261614706,3.1726,-19.565949383230752,-0.3211361535779944,8,time_stop,3,4,102935.93335356445,V36cv2_inverse,main
